Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,True Node
28.03.1948,7.22470531,225.09638945,341.60989028,52.00744754,138.11785000,268.41761617,136.11870226,82.44243916,191.75053163,132.72359676,44.50101402
29.03.1948,8.21293922,238.48073033,342.98254420,53.08457464,138.10531698,268.47260055,136.08407261,82.46667359,191.72310723,132.71175592,44.51257914
30.03.1948,9.20067999,251.44701226,344.38320796,54.15720919,138.10503222,268.52464372,136.05111728,82.49172434,191.69565298,132.70032246,44.53770671
31.03.1948,10.18792966,264.04418285,345.81123142,55.22524083,138.11685832,268.57371925,136.01984662,82.51758116,191.66817442,132.68929580,44.56440554

April,,,,,,,,,,,
01.04.1948,11.17468657,276.34024946,347.26606094,56.28855177,138.14065300,268.61980102,135.99027004,82.54423313,191.64067678,132.67867486,44.58135936
02.04.1948,12.16094682,288.41305358,348.74723368,57.34701764,138.17626961,268.66286432,135.96239683,82.57166954,191.61316593,132.66845895,44.57991033
03.04.1948,13.14670521,300.34298209,350.25437185,58.40050777,138.22355751,268.70288645,135.93623651,82.59988036,191.58564878,132.65864819,44.55537804
04.04.1948,14.13195579,312.20752132,351.78717686,59.44888535,138.28236252,268.73984704,135.91179902,82.62885649,191.55813351,132.64924378,44.50758323
05.04.1948,15.11669233,324.07731461,353.34542383,60.49200739,138.35252747,268.77372834,135.88909494,82.65858995,191.53062979,132.64024818,44.44057228
06.04.1948,16.10090847,336.01341815,354.92895601,61.52972449,138.43389276,268.80451547,135.86813561,82.68907406,191.50314893,132.63166528,44.36165711
07.04.1948,17.08459786,348.06560994,356.53767920,62.56188039,138.52629670,268.83219659,135.84893312,82.72030346,191.47570391,132.62350042,44.27997911
08.04.1948,18.06775405,0.27175251,358.17155604,63.58831119,138.62957561,268.85676295,135.83150025,82.75227407,191.44830932,132.61576035,44.20486162
09.04.1948,19.05037034,12.65827382,359.83059994,64.60884441,138.74356363,268.87820882,135.81585018,82.78498284,191.42098112,132.60845295,44.14422803
10.04.1948,20.03243950,25.24175479,1.51486845,65.62329764,138.86809206,268.89653112,135.80199589,82.81842718,191.39373613,132.60158676,44.10333191
11.04.1948,21.01395317,38.03140580,3.22445568,66.63147701,139.00298816,268.91172865,135.78994918,82.85260410,191.36659103,132.59516997,44.08398350
12.04.1948,21.99490127,51.03193972,4.95948366,67.63317543,139.14807369,268.92380095,135.77971936,82.88750898,191.33956120,132.58920925,44.08437985
13.04.1948,22.97527150,64.24611550,6.72009275,68.62817127,139.30316355,268.93274718,135.77131204,82.92313438,191.31265943,132.58370854,44.09956326
14.04.1948,23.95504949,77.67614322,8.50643098,69.61622766,139.46806500,268.93856537,135.76472836,82.95946938,191.28589522,132.57866828,44.12244307
15.04.1948,24.93421968,91.32328326,10.31864244,70.59709282,139.64257793,268.94125226,135.75996490,82.99649960,191.25927462,132.57408542,44.14522367
16.04.1948,25.91276692,105.18532864,12.15685413,71.57050153,139.82649610,268.94080391,135.75701449,83.03420795,191.23280101,132.56995413,44.16099294
17.04.1948,26.89067875,119.25223213,14.02116111,72.53617743,140.01960941,268.93721685,135.75586769,83.07257615,191.20647641,132.56626724,44.16512946
18.04.1948,27.86794812,133.50081765,15.91160897,73.49383613,140.22170707,268.93048979,135.75651488,83.11158682,191.18030351,132.56301825,44.15613188
19.04.1948,28.84457590,147.89016831,17.82817325,74.44318864,140.43258111,268.92062538,135.75894849,83.15122559,191.15428766,132.56020343,44.13578203
20.04.1948,29.82057275,162.35962184,19.77073437,75.38394426,140.65202976,268.90763145,135.76316478,83.19148276,191.12843847,132.55782342,44.10837292
21.04.1948,30.79595905,176.83097635,21.73904735,76.31581193,140.87985970,268.89152095,135.76916432,83.23235367,191.10277012,132.55588360,44.07952423
22.04.1948,31.77076283,191.21536151,23.73270573,77.23849955,141.11588670,268.87231040,135.77695088,83.27383735,191.07730000,132.55439272,44.05457216
23.04.1948,32.74501581,205.42359902,25.75110030,78.15171100,141.35993467,268.85001713,135.78652900,83.31593386,191.05204612,132.55336030,44.03739718
24.04.1948,33.71874891,219.37753233,27.79337462,79.05514205,141.61183390,268.82465650,135.79790119,83.35864137,191.02702431,132.55279377,44.02970762
25.04.1948,34.69198868,233.01952674,29.85837967,79.94847636,141.87141956,268.79624028,135.81106611,83.40195421,191.00224633,132.55269659,44.03098552
26.04.1948,35.66475569,246.31820479,31.94463013,80.83138260,142.13853104,268.76477672,135.82601825,83.44586244,190.97771967,132.55306792,44.03898486
27.04.1948,36.63706475,259.26991021,34.05026461,81.70351292,142.41301216,268.73027215,135.84274900,83.49035296,190.95344869,132.55390379,44.05053704
28.04.1948,37.60892624,271.89661484,36.17301063,82.56450233,142.69471178,268.69273304,135.86124824,83.53541118,190.92943642,132.55519874,44.06242261
29.04.1948,38.58034762,284.24157702,38.31014822,83.41396835,142.98348418,268.65216784,135.88150576,83.58102247,190.90568601,132.55694742,44.07209982
30.04.1948,39.55133464,296.36403395,40.45867151,84.25151052,143.27918905,268.60858809,135.90351206,83.62717304,190.88220170,132.55914536,44.07815246

May,,,,,,,,,,,
01.05.1948,40.52189199,308.33384405,42.61477993,85.07670965,143.58169118,268.56200894,135.92725871,83.67385037,190.85898911,132.56178945,44.08040964
02.05.1948,41.49202373,320.22654935,44.77459716,85.88912707,143.89086014,268.51244934,135.95273834,83.72104327,190.83605540,132.56487795,44.07976064
03.05.1948,42.46173349,332.11897277,46.93375870,86.68830375,144.20657000,268.45993212,135.97994472,83.76874191,190.81340923,132.56841056,44.07773715
04.05.1948,43.43102456,344.08525606,49.08761853,87.47375930,144.52869914,268.40448410,136.00887272,83.81693785,190.79106082,132.57238843,44.07597471
05.05.1948,44.39989978,356.19318570,51.23133280,88.24499061,144.85713000,268.34613611,136.03951823,83.86562398,190.76902183,132.57681406,44.07568666
06.05.1948,45.36836127,8.50071607,53.35996451,89.00147024,145.19174865,268.28492297,136.07187800,83.91479435,190.74730525,132.58169120,44.07727666
07.05.1948,46.33640991,21.05273948,55.46859555,89.74264421,145.53244407,268.22088331,136.10594929,83.96444385,190.72592507,132.58702448,44.08018249
08.05.1948,47.30404469,33.87834503,57.55243737,90.46792934,145.87910688,268.15405904,136.14172913,84.01456753,190.70489561,132.59281877,44.08299605
09.05.1948,48.27126165,46.98897018,59.60693133,91.17671011,146.23162760,268.08449440,136.17921313,84.06515951,190.68423039,132.59907804,44.08384703
10.05.1948,49.23805286,60.37792028,61.62783186,91.86833538,146.58989435,268.01223457,136.21839398,84.11621150,190.66394063,132.60580391,44.08097525
11.05.1948,50.20440583,74.02162054,63.61126745,92.54211594,146.95379091,267.93732436,136.25926007,84.16771157,190.64403399,132.61299434,44.07336167
12.05.1948,51.17030405,87.88265855,65.55377802,93.19732361,147.32319573,267.85980756,136.30179497,84.21964367,190.62451395,132.62064312,44.06124417
13.05.1948,52.13572890,101.91422355,67.45232936,93.83319267,147.69798247,267.77972735,136.34597810,84.27198842,190.60538049,132.62874058,44.04632474
14.05.1948,53.10066275,116.06509764,69.30430697,94.44892331,148.07802212,267.69712775,136.39178671,84.32472498,190.58663187,132.63727543,44.03153801
15.05.1948,54.06509245,130.28414303,71.10749262,95.04368649,148.46318614,267.61205564,136.43919834,84.37783358,190.56826703,132.64623718,44.02041176
16.05.1948,55.02901240,144.52336051,72.86002748,95.61662912,148.85334954,267.52456247,136.48819319,84.43129774,190.55028772,132.65561835,44.01603372
17.05.1948,55.99242628,158.73908882,74.56036579,96.16687855,149.24839334,267.43470512,136.53875556,84.48510562,190.53269978,132.66541577,44.02006352
18.05.1948,56.95534715,172.89154844,76.20722301,96.69354592,149.64820577,267.34254558,136.59087400,84.53925000,190.51551314,132.67563060,44.03203444
19.05.1948,57.91779613,186.94348656,77.79952191,97.19572816,150.05268223,267.24814957,136.64454032,84.59372717,190.49874066,132.68626719,44.04917319
20.05.1948,58.87979975,200.85891581,79.33633967,97.67250907,150.46172427,267.15158438,136.69974772,84.64853487,190.48239617,132.69733104,44.06683795
21.05.1948,59.84138683,214.60283712,80.81685817,98.12295963,150.87523816,267.05291664,136.75648858,84.70366998,190.46649219,132.70882658,44.07949683
22.05.1948,60.80258553,228.14243358,82.24031961,98.54613835,151.29313344,266.95221058,136.81475272,84.75912661,190.45103819,132.72075532,44.08193300
23.05.1948,61.76342129,241.44967688,83.60598816,98.94109225,151.71532222,266.84952739,136.87452649,84.81489522,190.43603970,132.73311496,44.07041023
24.05.1948,62.72391594,254.50479367,84.91311855,99.30685886,152.14171919,266.74492590,136.93579308,84.87096278,190.42149868,132.74589970,44.04355292
25.05.1948,63.68408797,267.29974852,86.16093110,99.64246939,152.57224233,266.63846405,136.99853366,84.92731398,190.40741480,132.75910148,44.00275886
26.05.1948,64.64395340,279.84092907,87.34859272,99.94695312,153.00681368,266.53020076,137.06272884,84.98393277,190.39378698,132.77271147,43.95207703
27.05.1948,65.60352670,292.15049174,88.47520315,100.21934257,153.44535997,266.42019747,137.12835991,85.04080356,190.38061473,132.78672141,43.89757934
28.05.1948,66.56282145,304.26622694,89.53978591,100.45867978,153.88781259,266.30851905,137.19540952,85.09791207,190.36789891,132.80112439,43.84632777
29.05.1948,67.52185068,316.24012813,90.54128401,100.66402356,154.33410739,266.19523412,137.26386192,85.15524555,190.35564204,132.81591508,43.80510576
30.05.1948,68.48062704,328.13600613,91.47856045,100.83445812,154.78418425,266.08041513,137.33370295,85.21279286,190.34384829,132.83108982,43.77913114
31.05.1948,69.43916281,340.02645765,92.35040374,100.96910302,155.23798667,265.96413826,137.40491994,85.27054435,190.33252340,132.84664649,43.77097784

June,,,,,,,,,,,
01.06.1948,70.39746982,351.98934185,93.15553846,101.06712439,155.69546148,265.84648318,137.47750149,85.32849172,190.32167453,132.86258434,43.77990447
02.06.1948,71.35555917,4.10372999,93.89264139,101.12774723,156.15655842,265.72753294,137.55143732,85.38662785,190.31131004,132.87890385,43.80173273
03.06.1948,72.31344074,16.44514793,94.56036310,101.15026863,156.62122965,265.60737363,137.62671793,85.44494649,190.30143923,132.89560640,43.82934244
04.06.1948,73.27112256,29.07990795,95.15735582,101.13407168,157.08942910,265.48609408,137.70333419,85.50344184,190.29207197,132.91269389,43.85375826
05.06.1948,74.22860970,42.05850668,95.68230756,101.07863999,157.56111125,265.36378519,137.78127653,85.56210791,190.28321793,132.93016806,43.86570771
06.06.1948,75.18590284,55.40852042,96.13398314,100.98357263,158.03622931,265.24053875,137.86053371,85.62093719,190.27488540,132.94802918,43.85743819
07.06.1948,76.14299669,69.12813382,96.51127281,100.84860017,158.51473289,265.11644580,137.94109108,85.67991918,190.26707968,132.96627455,43.82449006
08.06.1948,77.09987905,83.18221269,96.81324986,100.67360303,158.99656582,264.99159517,138.02292925,85.73903906,190.25980172,132.98489713,43.76703990
09.06.1948,78.05653158,97.50315315,97.03923840,100.45863351,159.48166537,264.86607302,138.10602387,85.79827762,190.25304789,133.00388538,43.69039884
10.06.1948,79.01293267,111.99799342,97.18889167,100.20394237,159.96996344,264.73996378,138.19034715,85.85761287,190.24681152,133.02322480,43.60433103
11.06.1948,79.96906203,126.56126036,97.26227968,99.91000862,160.46138960,264.61335246,138.27587084,85.91702301,190.24108562,133.04290079,43.52110764
12.06.1948,80.92490535,141.09050573,97.25998271,99.57757014,160.95587484,264.48632700,138.36256945,85.97648969,190.23586600,133.06290178,43.45269939
